# t, x, y, z, qx, qy, qz
2.32, 0.0, 0.0, 0., 0., 0., 0.005576275775845696
2.33, 0.0, 0.0, 0., 0., 0., 0.001396020114473671
2.34, 0.0, 0.0, 0., 0., 0., -0.0027922475340285695
2.35, 0.0, 0.0, 0., 0., 0., -0.006971786528520735
2.36, 0.0, 0.0, 0., 0., 0., -0.011125808115507702
2.37, 0.0, 0.0, 0., 0., 0., -0.015237551905678189
2.38, 0.0, 0.0, 0., 0., 0., -0.019290364958572358
2.39, 0.0, 0.0, 0., 0., 0., -0.02326778270993524
2.4, 0.0, 0.0, 0., 0., 0., -0.027153610906756134
2.41, 0.0, 0.0, 0., 0., 0., -0.030932007359958047
2.42, 0.0, 0.0, 0., 0., 0., -0.03458756323568902
2.43, 0.0, 0.0, 0., 0., 0., -0.038105381661521685
2.44, 0.0, 0.0, 0., 0., 0., -0.041471153844354174
2.45, 0.0, 0.0, 0., 0., 0., -0.04467123101991857
2.46, 0.0, 0.0, 0., 0., 0., -0.047692691596820866
2.47, 0.0, 0.0, 0., 0., 0., -0.050523402692584374
2.48, 0.0, 0.0, 0., 0., 0., -0.053152075427290675
2.49, 0.0, 0.0, 0., 0., 0., -0.05556831349235483
2.5, 0.0, 0.0, 0., 0., 0., -0.05776265467523657
2.5100000000000002, 0.0, 0.0, 0., 0., 0., -0.05972660518829952
2.52, 0.0, 0.0, 0., 0., 0., -0.06145266681443761
2.5300000000000002, 0.0, 0.0, 0., 0., 0., -0.06293435703689106
2.54, 0.0, 0.0, 0., 0., 0., -0.06416622246007962
2.5500000000000003, 0.0, 0.0, 0., 0., 0., -0.06514384594766197
2.56, 0.0, 0.0, 0., 0., 0., -0.06586384799998082
2.57, 0.0, 0.0, 0., 0., 0., -0.06632388296355236
2.58, 0.0, 0.0, 0., 0., 0., -0.06652263070953712
2.59, 0.0, 0.0, 0., 0., 0., -0.06645978443661898
2.6, 0.0, 0.0, 0., 0., 0., -0.06613603524784213
2.61, 0.0, 0.0, 0., 0., 0., -0.06555305412292417
2.62, 0.0, 0.0, 0., 0., 0., -0.0647134718601703
2.63, 0.0, 0.0, 0., 0., 0., -0.06362085749850088
2.64, 0.0, 0.0, 0., 0., 0., -0.062279695653598026
2.65, 0.0, 0.0, 0., 0., 0., -0.0606953631161143
2.66, 0.0, 0.0, 0., 0., 0., -0.05887410496751008
2.67, 0.0, 0.0, 0., 0., 0., -0.05682301037347925
2.68, 0.0, 0.0, 0., 0., 0., -0.05454998811892811
2.69, 0.0, 0.0, 0., 0., 0., -0.05206374185476026
2.7, 0.0, 0.0, 0., 0., 0., -0.04937374493770045
2.71, 0.0, 0.0, 0., 0., 0., -0.046490214662337985
2.72, 0.0, 0.0, 0., 0., 0., -0.04342408561158651
2.73, 0.0, 0.0, 0., 0., 0., -0.040186981789825604
2.74, 0.0, 0.0, 0., 0., 0., -0.03679118715398733
2.75, 0.0, 0.0, 0., 0., 0., -0.03324961412355468
2.7600000000000002, 0.0, 0.0, 0., 0., 0., -0.02957576963243155
2.77, 0.0, 0.0, 0., 0., 0., -0.025783718285414644
2.7800000000000002, 0.0, 0.0, 0., 0., 0., -0.021888042200608897
2.79, 0.0, 0.0, 0., 0., 0., -0.017903797157433895
2.8000000000000003, 0.0, 0.0, 0., 0., 0., -0.013846464728054758
2.81, 0.0, 0.0, 0., 0., 0., -0.009731900147823835
2.82, 0.0, 0.0, 0., 0., 0., -0.005576275776495644
2.83, 0.0, 0.0, 0., 0., 0., -0.0013960201146172955
2.84, 0.0, 0.0, 0., 0., 0., 0.0027922475342816847
2.85, 0.0, 0.0, 0., 0., 0., 0.0069717865290782185
2.86, 0.0, 0.0, 0., 0., 0., 0.011125808116292017
2.87, 0.0, 0.0, 0., 0., 0., 0.015237551906625655
2.88, 0.0, 0.0, 0., 0., 0., 0.019290364959630307
2.89, 0.0, 0.0, 0., 0., 0., 0.02326778271106048
2.9, 0.0, 0.0, 0., 0., 0., 0.027153610907914273
2.91, 0.0, 0.0, 0., 0., 0., 0.03093200736112142
