"Time","max height (stats)","max volume (stats)"
1.89619,0.156323,74.80246
1.90049,0.15788899,74.514336
1.90513,0.159422,74.209221
1.91036,0.161057,73.874916
1.91603,0.162847,73.535873
1.92247,0.164597,73.195557
1.92901,0.166144,72.909554
1.93589,0.167303,72.685265
1.94388,0.168051,72.524673
1.95499,0.168945,72.506104
1.9686,0.16973899,72.825272
1.97512,0.169453,73.096558
1.98053,0.163267,73.370201
1.9854,0.161586,73.654205
1.98992,0.160069,73.944885
1.99423,0.15863401,74.242294
1.9984,0.157059,74.546242
2.00246,0.155342,74.856392
2.00642,0.153505,75.159843
2.01026,0.15155999,75.463982
2.01403,0.149498,75.768517
2.01775,0.14730699,76.072449
2.02147,0.145237,76.375717
2.0252,0.143112,76.67746
2.02896,0.140875,76.975357
2.03277,0.13851599,77.269936
2.03659,0.13606501,77.554726
2.04039,0.13355,77.825134
2.04399,0.13108701,78.069786
2.04751,0.128631,78.294159
2.05101,0.126122,78.510139
2.05463,0.123501,78.715065
2.05844,0.120698,78.914543
2.06255,0.117648,79.110931
2.06677,0.1145,79.289124
2.07119,0.111205,79.451614
2.07572,0.107834,79.592873
2.0804,0.104602,79.710533
2.08475,0.102178,79.794472
2.08883,0.099958003,79.84977
2.09288,0.097879998,79.881081
2.09687,0.095955998,79.889305
2.10101,0.094016999,79.873421
2.10559,0.091944002,79.826759
2.11017,0.089936003,79.751007
2.11447,0.088138998,79.653801
2.11857,0.086510003,79.537605
2.12253,0.084959,79.405609
2.12639,0.083469003,79.257393
2.13018,0.082064003,79.095016
2.13394,0.080945,78.918571
2.13767,0.079853997,78.728897
2.14141,0.078790002,78.529388
2.14514,0.077752002,78.318726
2.1488,0.076765999,78.102821
2.15225,0.075868003,77.892151
2.15548,0.075093001,77.685722
2.15856,0.074417002,77.48436
2.16152,0.073775999,77.282608
2.1644,0.073160999,77.080673
2.16693,0.072628997,76.899094
2.16978,0.072044,76.691231
2.17266,0.071462996,76.477928
2.17563,0.070877999,76.262917
2.179,0.070266001,76.010864
2.18263,0.069710001,75.739876
2.18612,0.069268003,75.481674
2.18993,0.068878002,75.203026
2.19394,0.068603002,74.916855
2.19815,0.068542004,74.62719
2.2024,0.068484999,74.348343
2.2067,0.068426996,74.082932
2.21184,0.068351001,73.797546
2.21748,0.068255998,73.520561
2.22355,0.068138003,73.268997
2.23025,0.067996003,73.0485
2.23702,0.067851,72.893875
2.24413,0.067716002,72.806854
2.25298,0.067996003,72.813019
2.26338,0.06927,72.969063
2.27256,0.070316002,73.222832
2.27913,0.070997,73.509941
2.28475,0.071727,73.801689
2.28987,0.072633997,74.101646
2.29451,0.073435999,74.398048
2.29879,0.074157,74.691017
2.30284,0.074817002,74.981705
2.30672,0.075429998,75.270905
2.31048,0.076004997,75.559204
2.31416,0.076550998,75.846916
2.31779,0.077076003,76.133308
2.32138,0.077587001,76.417831
2.3249,0.078082003,76.696091
2.3284,0.078574002,76.970535
2.33195,0.079195999,77.245148
2.33551,0.080041997,77.514671
2.33894,0.080941997,77.763451
2.34214,0.081864998,77.980675
2.3452,0.082966,78.174477
2.34823,0.084063001,78.350639
2.35132,0.085189,78.515305
2.35457,0.086374998,78.672867
2.35805,0.087650999,78.827354
2.36163,0.088959001,78.971497
2.36526,0.090287,79.104935
2.369,0.091650002,79.228775
2.37269,0.092995003,79.343102
2.37629,0.094307996,79.438484
2.37983,0.095600002,79.516907
2.38332,0.096882001,79.581299
2.38679,0.098545,79.632324
2.39009,0.100315,79.668358
2.39319,0.101999,79.691269
2.39612,0.103598,79.700653
2.39889,0.105113,79.69883
2.4015,0.106552,79.68734
2.404,0.10793,79.666779
2.40639,0.109256,79.638046
2.40872,0.110546,79.601257
2.41103,0.111819,79.555244
2.41335,0.113098,79.500076
2.41574,0.11441,79.434006
2.41824,0.115777,79.354614
2.42089,0.117217,79.260857
2.42372,0.118745,79.149452
2.42457,0.119207,79.105759
2.42511,0.119496,79.078506
2.42584,0.11989,79.046806
2.42728,0.120661,78.981888
2.42933,0.121747,78.88134
2.43266,0.123513,78.700867
2.43589,0.12557501,78.509872
2.43904,0.127758,78.309425
2.44218,0.129935,78.100471
2.44536,0.13213,77.878143
2.44829,0.134146,77.664886
2.451,0.135987,77.462502
2.45349,0.137665,77.270889
2.45577,0.139195,77.088593
2.4579,0.140651,76.913681
2.45991,0.142065,76.7416
2.46186,0.143419,76.5662
2.46382,0.145192,76.382103
2.46586,0.147182,76.186974
2.46804,0.14923599,75.971962
2.47043,0.15138499,75.729561
2.4731,0.153653,75.457321
2.47588,0.155862,75.16227
2.47863,0.157913,74.865295
2.48121,0.159732,74.579521
2.48364,0.161368,74.301735
2.48594,0.162856,74.029579
2.48813,0.16421799,73.766319
2.49029,0.165517,73.498856
2.49253,0.166807,73.219521
2.49491,0.16812,72.919746
2.49698,0.169238,72.660011
2.49882,0.170219,72.433578
2.50011,0.170935,72.278206
2.50152,0.171675,72.110802
2.50326,0.172511,71.901947
2.50532,0.173426,71.649437
2.50777,0.17443,71.360657
2.51066,0.175519,71.042061
2.51368,0.17762899,70.730125
2.51653,0.179628,70.452194
2.51939,0.181501,70.188408
2.52264,0.183465,69.903351
2.52587,0.185238,69.590897
2.52922,0.18693,69.326485
2.53287,0.18451799,69.016487
2.53708,0.185526,68.75898
2.54226,0.186529,68.488808
2.5521,0.18795601,68.122002
2.56476,0.186189,68.041779
2.57414,0.185302,68.119675
2.5791,0.18489499,68.259369
2.58293,0.18442,68.404434
2.58627,0.183889,68.552917
2.59269,0.18260799,68.874352
2.59816,0.181187,69.188301
2.60166,0.18009999,69.420448
2.60436,0.179169,69.613319
2.60667,0.17844699,69.785538
2.60878,0.17773201,69.949608
2.6108,0.177001,70.111923
2.61277,0.17624199,70.275536
2.6147,0.17545301,70.441612
2.61661,0.17463399,70.610367
2.61849,0.173787,70.781624
2.62035,0.172915,70.955009
2.62218,0.172021,71.130112
2.62397,0.171111,71.305893
2.62573,0.170186,71.476791
2.62747,0.169248,71.679092
2.62917,0.168295,71.871689
2.63086,0.167329,72.059776
2.63253,0.166348,72.245949
2.63417,0.165354,72.431435
2.63581,0.16434599,72.61705
2.63743,0.163324,72.803726
2.63905,0.162284,72.992371
2.64066,0.16122399,73.1838
2.64228,0.16013999,73.378746
2.64391,0.15902799,73.577858
2.64556,0.157883,73.781693
2.64723,0.1567,73.979828
2.64896,0.155444,74.191177
2.65079,0.154089,74.420868
2.65277,0.15258899,74.673058
2.65498,0.15087,74.956749
2.65743,0.14891601,75.255287
2.65989,0.14689501,75.562836
2.66229,0.144866,75.862968
2.66465,0.14282601,76.154243
2.66698,0.14077,76.434601
2.66929,0.13868999,76.705673
2.67159,0.136576,76.967354
2.67389,0.134414,77.219276
2.67623,0.13218699,77.455902
2.67861,0.129875,77.672401
2.68106,0.12744901,77.872917
2.68354,0.124941,78.055923
2.68584,0.122578,78.210419
2.68803,0.120241,78.34005
2.6902,0.117886,78.453293
