Time,Displacement Z Node 48
7.72,8.11E-19
7.73,8.06E-19
7.74,7.98E-19
7.75,7.93E-19
7.76,7.91E-19
7.77,7.83E-19
7.78,7.74E-19
7.79,7.69E-19
7.8,7.67E-19
7.81,7.71E-19
7.82,7.76E-19
7.83,7.76E-19
7.84,7.76E-19
7.85,7.75E-19
7.86,7.70E-19
7.87,7.69E-19
7.88,7.64E-19
7.89,7.54E-19
7.9,7.48E-19
7.91,7.44E-19
7.92,7.43E-19
7.93,7.49E-19
7.94,7.51E-19
7.95,7.46E-19
7.96,7.42E-19
7.97,7.39E-19
7.98,7.36E-19
7.99,7.35E-19
8,7.33E-19
8.01,7.30E-19
8.02,7.32E-19
8.03,7.38E-19
8.04,7.39E-19
8.05,7.37E-19
8.06,7.36E-19
8.07,7.33E-19
8.08,7.34E-19
8.09,7.39E-19
8.1,7.41E-19
8.11,7.38E-19
8.12,7.35E-19
8.13,7.33E-19
8.14,7.31E-19
8.15,7.30E-19
8.16,7.26E-19
8.17,7.18E-19
8.18,7.00E-19
8.19,6.84E-19
8.2,6.81E-19
8.21,6.84E-19
8.22,6.88E-19
8.23,6.85E-19
8.24,6.73E-19
8.25,6.63E-19
8.26,6.62E-19
8.27,6.63E-19
8.28,6.55E-19
8.29,6.46E-19
8.3,6.42E-19
8.31,6.41E-19
8.32,6.31E-19
8.33,6.14E-19
8.34,6.01E-19
8.35,5.89E-19
8.36,5.78E-19
8.37,5.67E-19
8.38,5.55E-19
8.39,5.46E-19
8.4,5.33E-19
8.41,5.17E-19
8.42,5.03E-19
8.43,4.89E-19
8.44,4.80E-19
8.45,4.81E-19
8.46,4.80E-19
8.47,4.76E-19
8.48,4.71E-19
8.49,4.62E-19
8.5,4.57E-19
8.51,4.59E-19
8.52,4.55E-19
8.53,4.44E-19
8.54,4.30E-19
8.55,4.15E-19
8.56,4.02E-19
8.57,3.88E-19
8.58,3.72E-19
8.59,3.60E-19
8.6,3.53E-19
8.61,3.46E-19
8.62,3.33E-19
8.63,3.23E-19
8.64,3.20E-19
8.65,3.19E-19
8.66,3.16E-19
8.67,3.08E-19
8.68,3.02E-19
8.69,3.03E-19
8.7,3.07E-19
8.71,3.03E-19
8.72,2.88E-19
8.73,2.86E-19
8.74,2.93E-19
8.75,2.88E-19
8.76,2.77E-19
8.77,2.67E-19
8.78,2.53E-19
8.79,2.34E-19
8.8,2.16E-19
8.81,2.05E-19
8.82,1.93E-19
8.83,1.69E-19
8.84,1.43E-19
8.85,1.33E-19
8.86,1.27E-19
8.87,1.19E-19
8.88,1.15E-19
8.89,1.13E-19
8.9,1.11E-19
8.91,1.02E-19
8.92,9.21E-20
8.93,8.42E-20
8.94,7.99E-20
8.95,7.53E-20
8.96,5.92E-20
8.97,4.21E-20
8.98,3.58E-20
8.99,2.87E-20
9,1.66E-20
9.01,6.22E-21
9.02,-6.21E-21
9.03,-2.63E-20
9.04,-5.10E-20
9.05,-7.62E-20
9.06,-9.89E-20
9.07,-1.18E-19
9.08,-1.32E-19
9.09,-1.41E-19
9.1,-1.46E-19
9.11,-1.52E-19
9.12,-1.63E-19
9.13,-1.70E-19
9.14,-1.76E-19
9.15,-1.82E-19
9.16,-1.91E-19
9.17,-1.96E-19
9.18,-1.98E-19
9.19,-2.06E-19
9.2,-2.13E-19
9.21,-2.21E-19
9.22,-2.30E-19
9.23,-2.34E-19
9.24,-2.33E-19
9.25,-2.39E-19
9.26,-2.54E-19
9.27,-2.72E-19
9.28,-2.92E-19
9.29,-3.12E-19
9.3,-3.28E-19
9.31,-3.34E-19
9.32,-3.42E-19
9.33,-3.56E-19
9.34,-3.66E-19
9.35,-3.68E-19
9.36,-3.70E-19
9.37,-3.74E-19
9.38,-3.73E-19
9.39,-3.78E-19
9.4,-3.92E-19
9.41,-4.11E-19
9.42,-4.28E-19
9.43,-4.37E-19
9.44,-4.44E-19
9.45,-4.49E-19
9.46,-4.54E-19
9.47,-4.69E-19
9.48,-4.90E-19
9.49,-5.09E-19
9.5,-5.25E-19
9.51,-5.46E-19
9.52,-5.62E-19
9.53,-5.76E-19
9.54,-5.95E-19
9.55,-6.15E-19
9.56,-6.33E-19
9.57,-6.48E-19
9.58,-6.57E-19
9.59,-6.59E-19
9.6,-6.65E-19
9.61,-6.77E-19
9.62,-6.89E-19
9.63,-6.99E-19
9.64,-7.10E-19
9.65,-7.24E-19
9.66,-7.40E-19
9.67,-7.51E-19
9.68,-7.52E-19
9.69,-7.53E-19
9.7,-7.63E-19
9.71,-7.75E-19
9.72,-7.88E-19
9.73,-8.04E-19
9.74,-8.18E-19
9.75,-8.28E-19
9.76,-8.35E-19
9.77,-8.44E-19
9.78,-8.60E-19
9.79,-8.72E-19
9.8,-8.75E-19
9.81,-8.81E-19
9.82,-8.85E-19
9.83,-8.75E-19
9.84,-8.65E-19
9.85,-8.67E-19
9.86,-8.72E-19
9.87,-8.79E-19
9.88,-8.82E-19
9.89,-8.76E-19
9.9,-8.78E-19
9.91,-8.82E-19
9.92,-8.73E-19
9.93,-8.61E-19
9.94,-8.65E-19
9.95,-8.79E-19
9.96,-8.94E-19
9.97,-9.04E-19
9.98,-9.08E-19
9.99,-9.18E-19
10,-9.25E-19
10.01,-9.26E-19
10.02,-9.28E-19
10.03,-9.35E-19
10.04,-9.44E-19
10.05,-9.47E-19
10.06,-9.50E-19
10.07,-9.51E-19
10.08,-9.49E-19
10.09,-9.49E-19
10.1,-9.55E-19
10.11,-9.67E-19
10.12,-9.75E-19
10.13,-9.73E-19
10.14,-9.75E-19
10.15,-9.83E-19
10.16,-9.92E-19
10.17,-1.01E-18
10.18,-1.02E-18
10.19,-1.04E-18
10.2,-1.06E-18
10.21,-1.07E-18
10.22,-1.07E-18
10.23,-1.07E-18
10.24,-1.09E-18
10.25,-1.11E-18
10.26,-1.12E-18
10.27,-1.14E-18
10.28,-1.16E-18
10.29,-1.18E-18
10.3,-1.18E-18
10.31,-1.18E-18
10.32,-1.19E-18
10.33,-1.20E-18
10.34,-1.20E-18
10.35,-1.21E-18
10.36,-1.21E-18
10.37,-1.22E-18
10.38,-1.21E-18
10.39,-1.21E-18
10.4,-1.21E-18
10.41,-1.22E-18
10.42,-1.22E-18
10.43,-1.23E-18
10.44,-1.23E-18
10.45,-1.22E-18
10.46,-1.22E-18
10.47,-1.22E-18
10.48,-1.22E-18
10.49,-1.23E-18
10.5,-1.22E-18
10.51,-1.21E-18
10.52,-1.20E-18
10.53,-1.19E-18
10.54,-1.17E-18
10.55,-1.17E-18
10.56,-1.17E-18
10.57,-1.16E-18
10.58,-1.15E-18
10.59,-1.15E-18
10.6,-1.14E-18
10.61,-1.12E-18
10.62,-1.11E-18
10.63,-1.11E-18
10.64,-1.11E-18
10.65,-1.11E-18
10.66,-1.11E-18
10.67,-1.10E-18
10.68,-1.10E-18
10.69,-1.10E-18
10.7,-1.10E-18
10.71,-1.11E-18
10.72,-1.11E-18
10.73,-1.11E-18
10.74,-1.11E-18
10.75,-1.11E-18
10.76,-1.11E-18
10.77,-1.11E-18
10.78,-1.11E-18
10.79,-1.11E-18
10.8,-1.12E-18
10.81,-1.12E-18
10.82,-1.11E-18
10.83,-1.10E-18
10.84,-1.10E-18
10.85,-1.12E-18
10.86,-1.12E-18
10.87,-1.13E-18
10.88,-1.14E-18
10.89,-1.16E-18
10.9,-1.17E-18
10.91,-1.17E-18
10.92,-1.17E-18
10.93,-1.18E-18
10.94,-1.19E-18
10.95,-1.19E-18
10.96,-1.19E-18
10.97,-1.19E-18
10.98,-1.19E-18
10.99,-1.19E-18
11,-1.19E-18
11.01,-1.18E-18
11.02,-1.17E-18
11.03,-1.17E-18
11.04,-1.16E-18
11.05,-1.17E-18
11.06,-1.16E-18
11.07,-1.13E-18
11.08,-1.12E-18
11.09,-1.11E-18
11.1,-1.10E-18
11.11,-1.11E-18
11.12,-1.10E-18
11.13,-1.08E-18
11.14,-1.07E-18
11.15,-1.07E-18
11.16,-1.07E-18
11.17,-1.06E-18
11.18,-1.05E-18
11.19,-1.05E-18
11.2,-1.04E-18
11.21,-1.03E-18
11.22,-1.01E-18
11.23,-1.00E-18
11.24,-9.81E-19
11.25,-9.73E-19
11.26,-9.74E-19
11.27,-9.67E-19
11.28,-9.61E-19
11.29,-9.53E-19
11.3,-9.38E-19
11.31,-9.21E-19
11.32,-9.16E-19
11.33,-9.13E-19
11.34,-8.98E-19
11.35,-8.89E-19
11.36,-8.81E-19
11.37,-8.72E-19
11.38,-8.76E-19
11.39,-8.85E-19
11.4,-8.92E-19
11.41,-8.92E-19
11.42,-8.98E-19
11.43,-9.09E-19
11.44,-9.06E-19
11.45,-8.95E-19
11.46,-8.91E-19
11.47,-8.85E-19
11.48,-8.87E-19
11.49,-8.99E-19
11.5,-9.00E-19
11.51,-8.93E-19
11.52,-8.90E-19
11.53,-8.98E-19
11.54,-9.04E-19
11.55,-8.99E-19
11.56,-8.93E-19
11.57,-8.97E-19
11.58,-8.97E-19
11.59,-8.83E-19
11.6,-8.74E-19
11.61,-8.69E-19
11.62,-8.58E-19
11.63,-8.61E-19
11.64,-8.66E-19
11.65,-8.63E-19
11.66,-8.63E-19
11.67,-8.65E-19
11.68,-8.56E-19
11.69,-8.46E-19
11.7,-8.46E-19
11.71,-8.42E-19
11.72,-8.33E-19
11.73,-8.30E-19
11.74,-8.26E-19
11.75,-8.18E-19
11.76,-8.10E-19
11.77,-8.02E-19
11.78,-7.94E-19
11.79,-7.82E-19
11.8,-7.64E-19
11.81,-7.36E-19
11.82,-7.05E-19
11.83,-6.85E-19
11.84,-6.77E-19
11.85,-6.66E-19
11.86,-6.58E-19
11.87,-6.56E-19
11.88,-6.62E-19
11.89,-6.68E-19
11.9,-6.64E-19
11.91,-6.61E-19
11.92,-6.51E-19
11.93,-6.29E-19
11.94,-6.13E-19
11.95,-6.10E-19
11.96,-6.09E-19
11.97,-6.03E-19
11.98,-6.01E-19
11.99,-5.97E-19
12,-5.91E-19
12.01,-5.89E-19
12.02,-5.90E-19
12.03,-5.89E-19
12.04,-5.83E-19
12.05,-5.70E-19
12.06,-5.54E-19
12.07,-5.47E-19
12.08,-5.45E-19
12.09,-5.40E-19
12.1,-5.38E-19
12.11,-5.49E-19
12.12,-5.60E-19
12.13,-5.65E-19
12.14,-5.64E-19
12.15,-5.62E-19
12.16,-5.68E-19
12.17,-5.72E-19
12.18,-5.70E-19
12.19,-5.62E-19
12.2,-5.44E-19
12.21,-5.25E-19
12.22,-5.10E-19
12.23,-4.93E-19
12.24,-4.78E-19
12.25,-4.71E-19
12.26,-4.58E-19
12.27,-4.39E-19
12.28,-4.18E-19
12.29,-3.93E-19
12.3,-3.71E-19
12.31,-3.51E-19
12.32,-3.36E-19
12.33,-3.32E-19
12.34,-3.31E-19
12.35,-3.25E-19
